Genetisk variasjon;Hvor varierte individene i en populasjon er med tanke på genetisk sammensetning. Nødvendig for evolusjon.
Meiose;Dannelse av kjønnsceller. Hver kjønnscelle blir unik på grunn av overkrysning og rekombinasjon.
Genotype;Hele den genetiske sammensetningen i en organisme.
Fenotype;Observerbare egenskaper som stammer fra gener.
Homozygot;Når begge allelene er samme variant av genet.
Heterozygot;Når allelene er ulike varianter av genet.
Dominant arv;Når en genvariant vinner over den andre når det kommer til uttrykk.
Allel;En genvariant. Man har som regel 2 alleler til hvert gen.
Kjønnskromosomer;Kommer i variant X og Y. Y-kromosmet er kortere og hvis man får dette utvikles maskuline trekk.
Genetikk;Fagområde i biologien som handler om å studere hvordan gener arves til neste generasjon.
Kjønnsbundet arv;Når gener er tilknyttet kjønnskromosomer. Slår ut annerledes for gutter og jenter. Rød/grønn fargeblindhet, f.eks.
Polyploidi;Når kromosomene kommer i sett på flere enn to kromosomer.
Kromosomavvik;Når kromosomene er annerledes enn vanlig. F.eks når antallet kromosomer avviker fra normalen.
Trisomi-21;Et ekstra kromosom på kromosompar 21 forårsaker tilstanden Down's syndrom.
