Bioteknologi;Teknologi som bruker celler, mikroorganismer eller deler av disse (f.eks enzymer) til å lage et produkt eller løse et problem.
Genteknologi;Teknologi som bruker kunnskapen vår om DNA til å studere, tolke eller endre DNA.
Avl;Å bestemme hvilke organismer som får avkom for å få frem ønskede egenskaper over tid.
Genteknologiloven;Loven som regulerer bruken av genmodifiserte organismer.
Bioteknologiloven;Loven som regulerer medisinsk bruk av bioteknologi.
Plasmid;Ringformet DNA i bakterier som ofte er mål for genetisk modifikasjon for å produsere f.eks insulin.
Genspleising;Overføringen av DNA inn i arvematerialet fra en organisme til en annen.
Restriksjonsenzymer;Enzymer som klipper DNA på spesielle steder. Brukt i tradisjonell genteknologi.
CRISPR;Genteknologi som bruker CAS9-protein og gRNA til å klippe ved spesifikke, målrettede steder i DNA. Brukt i moderne genteknologi.
GMO;En organisme som har fått en endring i sitt DNA ved bruk av genteknologi.
