Fornybar energi;Energi fra kilder som sol, vind og vann som ikke blir brukt opp.
Resirkulering;Prosessen med å omdanne avfall til nye produkter.
Sirkulær økonomi;Økonomisk modell der ressurser gjenbrukes og avfall minimeres.
Karbonavtrykk;Mål på hvor mye CO2 en person, aktivitet, industri eller et land slipper ut.
Klimagasser;Gasser som bidrar til drivhuseffekten, som CO₂, metan og lystgass, og som påvirker jordens klima.
Artsmangfold;Variasjon av livsformer i et økosystem.
Klimaforandringer;Langsiktige endringer i temperatur og værmønstre.
Energi-effektivitet;Bruk av mindre energi for samme resultat.
Grønnvasking;Villedende markedsføring som gir inntrykk av miljøvennlighet, når det egentlig ikke er det.
Bærekraftig utvikling;Utvikling som balanserer økonomi, miljø og sosiale behov.
Miljøpolitikk;Tiltak og lover for å beskytte miljøet.
Utslippsreduksjon;Tiltak for å redusere utslipp av klimagasser.
Fossilt brensel;Ikke-fornybare energikilder som olje, kull og gass.
FNs bærekraftsmål;17 globale mål vedtatt av FN for å utrydde fattigdom, bekjempe ulikhet og stoppe klimaendringene innen 2030.
Lokale miljøutfordringer;Miljøproblemer som påvirker et begrenset geografisk område, som luftforurensning i byer eller vannforurensning i innsjøer.
Regionale miljøutfordringer;Miljøproblemer som berører flere områder eller land, som sur nedbør eller vannmangel.
Globale miljøutfordringer;Miljøproblemer som påvirker hele planeten, som klimaendringer, tap av biologisk mangfold og havforsuring.
