Elektromagnetiske bølger;Svingninger i elektriske og magnetiske felt som brer seg i rommet.
Mekaniske bølger;Bølger som er avhengig av materie for å bre seg.
Lysfarten (c);Universets fartsgrense som elektromagnetisk stråling beveger seg med i vakuum. 300 000 kilometer per sekund.
Frekvens;Svingninger per sekund. Proporsjonalt med energien i bølgen.
Bølgelengde;Avstand mellom bølgetopper. Omvendt proporsjonalt med energien i bølgen.
Det elektromagnetiske spekteret;En oversikt over hva de forskjellige bølgelengdene/frekvensene av EM-stråling er eller brukes til.
Ioniserende stråling;Betegnelse for partikkel- eller bølgestråling med så høy frekvens/energi at den kan skyte ut elektroner rundt atomer og kjemiske forbindelser.
Gammastråling;Elektromagnetisk stråling med svært høy frekvens. Ioniserende.
Røntgenstråling;Elektromagnetisk stråling med høy frekvens som kan brukes til å ta bilde av innsiden av kroppen.
UV-stråling;Elektromagnetisk stråling med litt høyere frekvens enn synlig lys og som kan være farlig for huden.
Synlig lys;Elektromagnetisk stråling med bølgelengde fra omtrent 400 nm til 700 nm. Hele regnbuen.
Infrarød stråling;Varmestråling. Lavere frekvens enn synlig lys. Brukes f.eks av romteleskoper, fjernkontroller eller varmekameraer.
Mikrobølger;Høyere frekvens enn radiobølger. Brukes mye i moderne trådløs kommunikasjon. Ved høy intensitet kan det også varme vannet i mat.
Radiobølger;Lengst bølgelengde av all EM-stråling. Lite energi, men stor gjennomtrengningsevne. Brukes også til trådløs kommunikasjon.
