Observasjon;Systematisk innsamling av informasjon gjennom sanser eller måleinstrumenter.
Hypotese;En testbar antakelse eller forklaring basert på observasjoner.
Variabel;En faktor som kan endres og påvirke resultatet i et eksperiment.
Eksperiment;En kontrollert test for å undersøke en hypotese.
Kontrollgruppe;En gruppe i et eksperiment som ikke får behandling, brukt som sammenligning.
Reproduserbarhet;Muligheten til å gjenta et eksperiment og få samme resultat.
Data;Informasjon samlet inn under et eksperiment.
Kvalitativ data;Beskrivende data, som farger, former eller mønstre.
Kvantitativ data;Numeriske data, som målinger og tallverdier.
Analyse;Prosessen med å tolke og forstå data.
Konklusjon;Resultatet av en undersøkelse, basert på data og analyse.
Teori;En godt underbygget forklaring på fenomener, basert på mange observasjoner og eksperimenter.
Falsifiserbarhet;At en hypotese kan motbevises gjennom observasjon eller eksperiment.
Feilkilder;Faktorer som kan påvirke resultatet og skape unøyaktighet.
